iter	Passed	Remaining
0	167	33334
1	180	17822
2	192	12621
3	199	9773
4	206	8055
5	213	6889
6	219	6063
7	225	5410
8	230	4894
9	235	4473
10	240	4137
11	246	3855
12	251	3617
13	256	3412
14	262	3232
15	267	3076
16	272	2936
17	277	2807
18	282	2688
19	286	2581
20	291	2485
21	296	2397
22	301	2317
23	305	2243
24	310	2175
25	315	2111
26	320	2053
27	325	1997
28	329	1945
29	334	1897
30	339	1853
31	345	1812
32	350	1773
33	355	1735
34	361	1706
35	367	1672
36	372	1640
37	377	1608
38	381	1576
39	387	1548
40	392	1523
41	397	1496
42	403	1471
43	407	1446
44	412	1421
45	418	1400
46	423	1379
47	428	1356
48	433	1335
49	438	1315
50	444	1297
51	449	1279
52	454	1260
53	459	1242
54	464	1224
55	469	1206
56	474	1189
57	479	1174
58	485	1159
59	490	1143
60	495	1128
61	497	1106
62	502	1093
63	507	1079
64	509	1059
65	515	1045
66	520	1033
67	526	1021
68	531	1008
69	536	996
70	542	985
71	547	972
72	552	962
73	558	950
74	563	938
75	568	927
76	573	915
77	578	904
78	583	893
79	588	882
80	593	871
81	598	860
82	603	850
83	608	840
84	613	829
85	618	819
86	622	809
87	627	799
88	632	789
89	638	779
90	643	770
91	647	760
92	652	750
93	658	742
94	662	732
95	668	724
96	673	714
97	677	705
98	682	696
99	687	687
100	692	679
101	698	671
102	704	663
103	709	654
104	715	646
105	720	639
106	726	631
107	731	622
108	736	614
109	741	607
110	746	598
111	751	590
112	756	582
113	762	575
114	767	567
115	771	558
116	776	550
117	781	543
118	786	535
119	791	527
120	796	520
121	801	512
122	806	504
123	811	497
124	816	489
125	821	482
126	826	475
127	831	467
128	836	460
129	840	452
130	845	445
131	850	438
132	855	430
133	860	423
134	865	416
135	870	409
136	877	403
137	882	396
138	887	389
139	893	382
140	897	375
141	904	369
142	910	362
143	915	356
144	920	349
145	925	342
146	930	335
147	936	328
148	940	322
149	945	315
150	951	308
151	955	301
152	960	295
153	965	288
154	970	281
155	975	275
156	981	268
157	986	262
158	991	255
159	996	249
160	1001	242
161	1006	236
162	1010	229
163	1015	223
164	1021	216
165	1026	210
166	1031	203
167	1036	197
168	1041	190
169	1046	184
170	1051	178
171	1056	172
172	1061	165
173	1067	159
174	1072	153
175	1077	146
176	1082	140
177	1087	134
178	1091	128
179	1096	121
180	1101	115
181	1106	109
182	1111	103
183	1117	97
184	1122	91
185	1127	84
186	1132	78
187	1137	72
188	1142	66
189	1147	60
190	1152	54
191	1157	48
192	1162	42
193	1167	36
194	1172	30
195	1177	24
196	1180	17
197	1185	11
198	1190	5
199	1196	0
